N,eta,f_ent,fisher,crb,mc_sigma
5,0.9,0.25,3.7174231921026433,0.26900354044285757,0.5925310745052419
5,0.9,0.5,4.651354598190363,0.21499113406426937,0.5209622334812373
5,0.9,0.75,8.22949493946657,0.1215141399752558,0.39613000976856705
5,0.9,1.0,14.762250000000002,0.06774035123372114,0.3015553291836686
5,0.8,0.0,4.0,0.25,0.580941497956339
5,0.8,0.25,3.2955442528134924,0.30344001575650936,0.625787806465082
5,0.8,0.5,3.788854381999832,0.2639320225002103,0.6057629339761057
5,0.8,0.75,5.567843858063238,0.17960273770102592,0.4703654871504857
5,0.8,1.0,8.192000000000002,0.12207031249999997,0.41183926612933175
5,0.6,0.0,3.0,0.3333333333333333,0.6688496960902242
5,0.6,0.25,2.4562761883109516,0.4071203412543139,0.7275929605573299
5,0.6,0.5,2.3714212528966687,0.42168804837120755,0.7108862134374476
5,0.6,0.75,2.303069846540263,0.4342030709586287,0.7503764850869941
5,0.6,1.0,1.9439999999999995,0.5144032921810701,0.8257352536145759
5,0.4,0.0,2.0,0.5,0.7844558104489584
5,0.4,0.25,1.6242610513698517,0.6156645812301113,0.892659448628821
5,0.4,0.5,1.316227766016838,0.7597469266479578,1.003757036596534
5,0.4,0.75,0.8395070260143926,1.1911752600184382,1.2771637313070774
5,0.4,1.0,0.25600000000000006,3.906249999999999,2.2184575440094845
6,0.99,0.0,5.9399999999999995,0.16835016835016836,0.48990982598013466
6,0.99,0.25,5.009083629038749,0.19963731373993882,0.5255252933000116
6,0.99,0.5,7.3363455,0.1363076479972215,0.42347490292732537
6,0.99,0.75,16.000923361662064,0.06249639332664906,0.28325023566147756
6,0.99,1.0,33.893285378436,0.0295043690463903,0.19938238198983485
6,0.9,0.0,5.4,0.18518518518518517,0.46772924582379516
6,0.9,0.25,4.530270919638073,0.22073735053352853,0.5332894171296205
6,0.9,0.5,5.980500000000001,0.16721009949000917,0.4835324409098428
6,0.9,0.75,10.803172511236182,0.09256540140962465,0.35449025385266675
